epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,8503.13,1.76895,1.52023,2.26618,0.88118,0.89887,0.94946,0.772,1.26878,0.97308,1.99276,0.000424556,0.000424556,0.000424556
144,8561.54,1.7689,1.51098,2.2701,0.86971,0.91012,0.95236,0.77755,1.27153,0.95577,1.98702,0.000417482,0.000417482,0.000417482
145,8621.37,1.73654,1.4797,2.25256,0.8722,0.88802,0.94988,0.77949,1.25878,0.961,1.97967,0.000410409,0.000410409,0.000410409
146,8680.53,1.76525,1.54019,2.26534,0.88527,0.89268,0.94617,0.77715,1.28639,0.94865,2.00031,0.000403335,0.000403335,0.000403335
147,8740.24,1.75166,1.51229,2.26342,0.8678,0.8901,0.95116,0.77294,1.30325,0.97565,2.01588,0.000396262,0.000396262,0.000396262
148,8795.29,1.74053,1.47772,2.26266,0.86679,0.91788,0.9521,0.77071,1.28926,0.93596,2.0093,0.000389188,0.000389188,0.000389188
149,8853.1,1.75809,1.48631,2.25796,0.84343,0.91137,0.94872,0.77495,1.30337,0.93478,2.00842,0.000382115,0.000382115,0.000382115
150,8913.54,1.73303,1.47301,2.23779,0.84875,0.90989,0.94671,0.77304,1.29702,0.99065,2.0043,0.000375041,0.000375041,0.000375041
151,8974.12,1.73153,1.4406,2.23625,0.86288,0.9154,0.95237,0.7763,1.29508,0.94614,2.01229,0.000367967,0.000367967,0.000367967
152,9033.77,1.71631,1.44429,2.23307,0.85804,0.91329,0.9524,0.78196,1.27415,0.93735,2.00595,0.000360894,0.000360894,0.000360894
153,9089.18,1.71763,1.45566,2.23861,0.89749,0.88561,0.94953,0.78543,1.26994,0.9266,1.99166,0.00035382,0.00035382,0.00035382
154,9148.74,1.68897,1.41423,2.22318,0.89305,0.91981,0.95506,0.79297,1.26336,0.90346,1.98216,0.000346747,0.000346747,0.000346747
155,9203.49,1.73116,1.44977,2.24041,0.88929,0.91722,0.95286,0.78937,1.26856,0.92408,1.98928,0.000339673,0.000339673,0.000339673
156,9260.81,1.72476,1.43476,2.23884,0.8607,0.91097,0.9502,0.78525,1.27467,0.93034,1.99748,0.0003326,0.0003326,0.0003326
157,9323.82,1.70312,1.39573,2.2285,0.86792,0.90728,0.94901,0.78519,1.26097,0.96019,1.97987,0.000325526,0.000325526,0.000325526
158,9381.64,1.67943,1.41503,2.21324,0.85789,0.8937,0.94374,0.77967,1.26053,1.00358,1.98293,0.000318453,0.000318453,0.000318453
159,9438.65,1.71828,1.44567,2.24357,0.88085,0.89991,0.94855,0.78427,1.24837,0.94475,1.97731,0.000311379,0.000311379,0.000311379
160,9492.9,1.71837,1.42303,2.22132,0.88436,0.89206,0.95108,0.79064,1.23414,0.96395,1.96916,0.000304306,0.000304306,0.000304306
161,9549.65,1.70781,1.43245,2.22183,0.8685,0.89378,0.94794,0.78696,1.24048,0.98611,1.97262,0.000297232,0.000297232,0.000297232
162,9605.64,1.69769,1.38585,2.21502,0.87875,0.8648,0.9382,0.77578,1.25492,1.07564,1.97895,0.000290158,0.000290158,0.000290158
163,9663.24,1.67411,1.37653,2.22075,0.87518,0.87402,0.9359,0.77214,1.25859,1.0646,1.97836,0.000283085,0.000283085,0.000283085
164,9720.68,1.65047,1.37978,2.21321,0.88996,0.87918,0.93951,0.77499,1.25963,1.04634,1.98637,0.000276011,0.000276011,0.000276011
165,9780.37,1.66794,1.37385,2.217,0.89283,0.8713,0.94057,0.77519,1.25719,1.03215,1.98837,0.000268938,0.000268938,0.000268938
166,9837.72,1.63567,1.35418,2.20377,0.8698,0.8882,0.93683,0.7733,1.25322,1.0149,1.98638,0.000261864,0.000261864,0.000261864
167,9893.4,1.64369,1.34591,2.20085,0.88135,0.8895,0.93713,0.77436,1.25618,1.01024,1.98789,0.000254791,0.000254791,0.000254791
168,9954.53,1.65252,1.37062,2.20934,0.88803,0.88512,0.94202,0.77933,1.2627,1.0133,1.99136,0.000247717,0.000247717,0.000247717
169,10015.4,1.66347,1.37449,2.21929,0.88194,0.88414,0.94073,0.77953,1.25755,1.01112,1.99071,0.000240644,0.000240644,0.000240644
170,10073.6,1.65774,1.34502,2.20761,0.88916,0.8786,0.94403,0.7829,1.25,1.00739,1.97894,0.00023357,0.00023357,0.00023357
171,10135.3,1.62169,1.33776,2.18671,0.89715,0.88787,0.94365,0.78288,1.25347,0.99867,1.98477,0.000226497,0.000226497,0.000226497
172,10197.2,1.67146,1.37131,2.20946,0.88212,0.89646,0.94625,0.7822,1.26558,0.98371,1.98864,0.000219423,0.000219423,0.000219423
173,10255.5,1.60616,1.32588,2.1938,0.88577,0.90082,0.9498,0.78676,1.25806,0.95863,1.99158,0.000212349,0.000212349,0.000212349
174,10310.6,1.64882,1.36071,2.20891,0.87821,0.89395,0.94428,0.78287,1.25546,1.00473,1.99331,0.000205276,0.000205276,0.000205276
175,10366.8,1.66712,1.34455,2.21218,0.876,0.86687,0.94484,0.78539,1.26405,1.00879,1.9948,0.000198202,0.000198202,0.000198202
176,10425.8,1.60058,1.33983,2.19251,0.86688,0.8788,0.94165,0.78076,1.27964,1.03,2.00325,0.000191129,0.000191129,0.000191129
